epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.03,,0.01,,
0.0,10000.0,70.0,0.0,10000.0,142.85715,100.0,100.0,,0.03,,0.0055,,
0.0,20000.0,107.0,0.0,20000.0,186.9159,233.33333,166.66666,,0.03,,0.001,,
0.0,30000.0,145.0,0.0,30000.0,206.89655,383.33334,238.88887,,0.03,,0.001,,
0.0,40000.0,243.0,0.0,40000.0,164.60905,488.8889,301.3889,,0.03,,0.001,,
0.0,50000.0,271.0,0.0,50000.0,184.50185,600.0,361.1111,,0.03,,0.001,,
0.0,60000.0,301.0,0.0,60000.0,199.33554,614.2857,403.3069,,0.03,,0.001,,
0.0,70000.0,330.0,0.0,70000.0,212.12122,660.0,439.97733,,0.03,,0.001,,
