epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.03,,0.01,,
0.0,10000.0,72.0,0.0,10000.0,138.88889,,,,0.03,,0.0055,,
0.0,20000.0,112.0,0.0,20000.0,178.57143,333.33334,333.33334,,0.03,,0.001,,
0.0,30000.0,154.0,0.0,30000.0,194.80519,360.0,346.6667,,0.03,,0.001,,
0.0,40000.0,208.0,0.0,40000.0,192.3077,500.0,397.7778,,0.03,,0.001,,
0.0,50000.0,218.0,0.0,50000.0,229.3578,583.3333,444.1667,,0.03,,0.001,,
0.0,60000.0,228.0,0.0,60000.0,263.1579,653.8461,486.1026,,0.03,,0.001,,
0.0,70000.0,238.0,0.0,70000.0,294.11765,592.3077,503.80338,,0.03,,0.001,,
0.0,80000.0,248.0,0.0,80000.0,322.58066,800.0,546.1172,,0.03,,0.001,,
0.0,90000.0,258.0,0.0,90000.0,348.83722,733.3333,569.5192,,0.03,,0.001,,
0.0,100000.0,268.0,0.0,100000.0,373.13434,626.6667,575.8689,,0.03,,0.001,,
