epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.03,,0.01,,
0.0,10000.0,72.0,0.0,10000.0,138.88889,,,,0.03,,0.0055,,
0.0,20000.0,112.0,0.0,20000.0,178.57143,400.0,400.0,,0.03,,0.001,,
0.0,30000.0,152.0,0.0,30000.0,197.36842,275.0,337.5,,0.03,,0.001,,
0.0,40000.0,207.0,0.0,40000.0,193.23671,360.0,345.0,,0.03,,0.001,,
0.0,50000.0,217.0,0.0,50000.0,230.41475,418.18182,363.29547,,0.03,,0.001,,
0.0,60000.0,228.0,0.0,60000.0,263.1579,450.0,380.63638,,0.03,,0.001,,
0.0,70000.0,238.0,0.0,70000.0,294.11765,428.57144,388.62552,,0.03,,0.001,,
0.0,80000.0,248.0,0.0,80000.0,322.58066,660.0,427.3933,,0.03,,0.001,,
0.0,90000.0,258.0,0.0,90000.0,348.83722,831.25,477.8754,,0.03,,0.001,,
0.0,100000.0,268.0,0.0,100000.0,373.13434,737.5,506.72253,,0.03,,0.001,,
