epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.03,,0.01,,
0.0,10000.0,73.0,0.0,10000.0,136.9863,75.0,75.0,,0.03,,0.0055,,
0.0,20000.0,112.0,0.0,20000.0,178.57143,255.55556,165.27777,,0.03,,0.001,,
0.0,30000.0,154.0,0.0,30000.0,194.80519,281.81818,204.12457,,0.03,,0.001,,
0.0,40000.0,222.0,0.0,40000.0,180.18018,376.92307,247.32419,,0.03,,0.001,,
0.0,50000.0,240.0,0.0,50000.0,208.33333,453.84616,288.6286,,0.03,,0.001,,
0.0,60000.0,258.0,0.0,60000.0,232.55814,378.57144,303.61905,,0.03,,0.001,,
0.0,70000.0,276.0,0.0,70000.0,253.62318,440.0,323.10205,,0.03,,0.001,,
0.0,80000.0,294.0,0.0,80000.0,272.10886,533.3333,349.38095,,0.03,,0.001,,
0.0,90000.0,313.0,0.0,90000.0,287.53995,720.0,390.56085,,0.03,,0.001,,
0.0,100000.0,331.0,0.0,100000.0,302.1148,981.25,449.6298,,0.03,,0.001,,
