epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.03,,0.01,,
0.0,10000.0,71.0,0.0,10000.0,140.84508,50.0,50.0,,0.03,,0.0055,,
0.0,20000.0,110.0,0.0,20000.0,181.81818,180.0,115.0,,0.03,,0.001,,
0.0,30000.0,149.0,0.0,30000.0,201.34229,322.22223,184.07408,,0.03,,0.001,,
0.0,40000.0,203.0,0.0,40000.0,197.04434,350.0,225.55556,,0.03,,0.001,,
0.0,50000.0,224.0,0.0,50000.0,223.21428,557.1429,291.87302,,0.03,,0.001,,
0.0,60000.0,243.0,0.0,60000.0,246.91357,575.0,339.06085,,0.03,,0.001,,
0.0,70000.0,262.0,0.0,70000.0,267.17557,662.5,385.26642,,0.03,,0.001,,
0.0,80000.0,280.0,0.0,80000.0,285.7143,712.5,426.17062,,0.03,,0.001,,
0.0,90000.0,298.0,0.0,90000.0,302.01343,706.25,457.2906,,0.03,,0.001,,
0.0,100000.0,316.0,0.0,100000.0,316.4557,875.0,499.06152,,0.03,,0.001,,
