epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.03,,0.01,,
0.0,10000.0,70.0,0.0,10000.0,142.85715,0.0,0.0,,0.03,,0.0055,,
0.0,20000.0,108.0,0.0,20000.0,185.18518,225.0,112.5,,0.03,,0.001,,
0.0,30000.0,147.0,0.0,30000.0,204.08163,300.0,175.0,,0.03,,0.001,,
0.0,40000.0,242.0,0.0,40000.0,165.28926,500.0,256.25,,0.03,,0.001,,
0.0,50000.0,270.0,0.0,50000.0,185.18518,614.2857,327.85712,,0.03,,0.001,,
0.0,60000.0,300.0,0.0,60000.0,200.0,520.0,359.88095,,0.03,,0.001,,
0.0,70000.0,330.0,0.0,70000.0,212.12122,466.66666,375.13602,,0.03,,0.001,,
