epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.03,,0.01,,
0.0,10000.0,71.0,0.0,10000.0,140.84508,50.0,50.0,,0.03,,0.0055,,
0.0,20000.0,109.0,0.0,20000.0,183.48624,142.85715,96.42857,,0.03,,0.001,,
0.0,30000.0,148.0,0.0,30000.0,202.7027,384.6154,192.49084,,0.03,,0.001,,
0.0,40000.0,204.0,0.0,40000.0,196.07843,435.7143,253.2967,,0.03,,0.001,,
0.0,50000.0,224.0,0.0,50000.0,223.21428,533.3333,309.30402,,0.03,,0.001,,
0.0,60000.0,242.0,0.0,60000.0,247.93388,406.66666,325.53113,,0.03,,0.001,,
0.0,70000.0,260.0,0.0,70000.0,269.23077,506.25,351.3481,,0.03,,0.001,,
0.0,80000.0,278.0,0.0,80000.0,287.76978,543.75,375.39835,,0.03,,0.001,,
0.0,90000.0,297.0,0.0,90000.0,303.0303,468.75,385.77075,,0.03,,0.001,,
0.0,100000.0,314.0,0.0,100000.0,318.47134,550.0,402.19366,,0.03,,0.001,,
