epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.03,,0.01,,
0.0,10000.0,72.0,0.0,10000.0,138.88889,,,,0.03,,0.0055,,
0.0,20000.0,113.0,0.0,20000.0,176.99115,233.33333,233.33333,,0.03,,0.001,,
0.0,30000.0,154.0,0.0,30000.0,194.80519,175.0,204.16666,,0.03,,0.001,,
0.0,40000.0,228.0,0.0,40000.0,175.4386,300.0,236.1111,,0.03,,0.001,,
0.0,50000.0,258.0,0.0,50000.0,193.79845,769.2308,369.39102,,0.03,,0.001,,
0.0,60000.0,288.0,0.0,60000.0,208.33333,842.8571,464.08423,,0.03,,0.001,,
0.0,70000.0,317.0,0.0,70000.0,220.82019,862.5,530.4869,,0.03,,0.001,,
0.0,80000.0,475.0,0.0,80000.0,168.42105,806.25,569.8816,,0.03,,0.001,,
0.0,90000.0,494.0,0.0,90000.0,182.18623,831.25,602.5526,,0.03,,0.001,,
0.0,100000.0,511.0,0.0,100000.0,195.69472,837.5,628.6579,,0.03,,0.001,,
