epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.03,,0.01,,
0.0,10000.0,71.0,0.0,10000.0,140.84508,25.0,25.0,,0.03,,0.0055,,
0.0,20000.0,110.0,0.0,20000.0,181.81818,112.5,68.75,,0.03,,0.001,,
0.0,30000.0,150.0,0.0,30000.0,200.0,140.0,92.5,,0.03,,0.001,,
0.0,40000.0,204.0,0.0,40000.0,196.07843,300.0,144.375,,0.03,,0.001,,
0.0,50000.0,221.0,0.0,50000.0,226.24434,540.0,223.5,,0.03,,0.001,,
0.0,60000.0,239.0,0.0,60000.0,251.04602,513.3333,271.80554,,0.03,,0.001,,
0.0,70000.0,258.0,0.0,70000.0,271.31784,593.3333,317.73807,,0.03,,0.001,,
0.0,80000.0,275.0,0.0,80000.0,290.9091,580.0,350.5208,,0.03,,0.001,,
0.0,90000.0,295.0,0.0,90000.0,305.08475,831.25,403.93518,,0.03,,0.001,,
0.0,100000.0,313.0,0.0,100000.0,319.48883,975.0,461.04166,,0.03,,0.001,,
