epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.03,,0.01,,
0.0,10000.0,73.0,0.0,10000.0,136.9863,100.0,100.0,,0.03,,0.0055,,
0.0,20000.0,112.0,0.0,20000.0,178.57143,120.0,110.0,,0.03,,0.001,,
0.0,30000.0,153.0,0.0,30000.0,196.07843,340.0,186.66667,,0.03,,0.001,,
0.0,40000.0,221.0,0.0,40000.0,180.99547,408.33334,242.08334,,0.03,,0.001,,
0.0,50000.0,240.0,0.0,50000.0,208.33333,461.53845,285.97437,,0.03,,0.001,,
0.0,60000.0,258.0,0.0,60000.0,232.55814,540.0,328.31198,,0.03,,0.001,,
0.0,70000.0,276.0,0.0,70000.0,253.62318,525.0,356.41025,,0.03,,0.001,,
0.0,80000.0,295.0,0.0,80000.0,271.18643,750.0,405.60898,,0.03,,0.001,,
0.0,90000.0,312.0,0.0,90000.0,288.46155,1043.75,476.51355,,0.03,,0.001,,
0.0,100000.0,330.0,0.0,100000.0,303.0303,818.75,510.7372,,0.03,,0.001,,
