epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.03,,0.01,,
0.0,10000.0,70.0,0.0,10000.0,142.85715,0.0,0.0,,0.03,,0.0055,,
0.0,20000.0,107.0,0.0,20000.0,186.9159,100.0,50.0,,0.03,,0.001,,
0.0,30000.0,147.0,0.0,30000.0,204.08163,411.1111,170.37038,,0.03,,0.001,,
0.0,40000.0,206.0,0.0,40000.0,194.17476,521.4286,258.13492,,0.03,,0.001,,
0.0,50000.0,225.0,0.0,50000.0,222.22223,626.6667,331.84125,,0.03,,0.001,,
0.0,60000.0,243.0,0.0,60000.0,246.91357,581.25,373.4094,,0.03,,0.001,,
0.0,70000.0,261.0,0.0,70000.0,268.19922,706.25,420.95804,,0.03,,0.001,,
0.0,80000.0,279.0,0.0,80000.0,286.73834,675.0,452.7133,,0.03,,0.001,,
0.0,90000.0,297.0,0.0,90000.0,303.0303,756.25,486.43958,,0.03,,0.001,,
0.0,100000.0,315.0,0.0,100000.0,317.46033,812.5,519.0456,,0.03,,0.001,,
