epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.03,,0.01,,
0.0,10000.0,72.0,0.0,10000.0,138.88889,50.0,50.0,,0.03,,0.0055,,
0.0,20000.0,111.0,0.0,20000.0,180.18018,150.0,100.0,,0.03,,0.001,,
0.0,30000.0,151.0,0.0,30000.0,198.67549,276.92307,158.97435,,0.03,,0.001,,
0.0,40000.0,227.0,0.0,40000.0,176.21146,285.7143,190.65933,,0.03,,0.001,,
0.0,50000.0,257.0,0.0,50000.0,194.55254,292.85715,211.0989,,0.03,,0.001,,
0.0,60000.0,286.0,0.0,60000.0,209.7902,280.0,222.58241,,0.03,,0.001,,
0.0,70000.0,315.0,0.0,70000.0,222.22223,220.0,222.2135,,0.03,,0.001,,
